
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:31:28 PM -03

Optimize a model with 40 rows, 40 columns and 120 nonzeros
Model has 792 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective -0
Modified 40 Q diagonals
Presolve time: 0.00s
Presolved: 40 rows, 40 columns, 120 nonzeros
Presolved model has 794 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)

Root relaxation: objective 1.034642e+03, 41 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1034.64173    0   40   -0.00000 1034.64173      -     -    0s
H    0     0                      30.0000000 1034.64173  3349%     -    0s
H    0     0                     236.0000000 1034.64173   338%     -    0s
H    0     0                     312.0000000 1034.64173   232%     -    0s
     0     2 1034.64173    0   40  312.00000 1034.64173   232%     -    0s
H   31    34                     319.0000000  954.23552   199%   3.0    0s
H   33    35                     341.0000000  954.23552   180%   3.0    0s
H   35    37                     366.0000000  954.23552   161%   3.0    0s
 2420131 389636  387.44957   52   16  366.00000  448.58637  22.6%   2.4  500s
 2435874 388860     cutoff   54       366.00000  448.13512  22.4%   2.4  505s
 2453697 388023  428.03867   53   12  366.00000  447.63572  22.3%   2.4  510s
 2470986 387131  447.16721   52   17  366.00000  447.16721  22.2%   2.4  515s
 2488342 386285  408.89342   51   13  366.00000  446.68509  22.0%   2.4  520s
 2504662 385380  395.02773   51   13  366.00000  446.23606  21.9%   2.4  525s
 2522433 384385  445.74108   48   19  366.00000  445.74108  21.8%   2.4  530s
 2540864 383299  395.44616   51   15  366.00000  445.22840  21.6%   2.4  535s
 2557323 382277  414.83712   52   16  366.00000  444.80210  21.5%   2.4  540s
 2574955 381142  370.45251   53   15  366.00000  444.31647  21.4%   2.4  545s
 2591539 379997  405.47134   51   15  366.00000  443.86630  21.3%   2.4  550s
 2607244 378840  433.70846   52   17  366.00000  443.43466  21.2%   2.4  555s
 2624533 377547  411.78491   51   15  366.00000  442.95889  21.0%   2.4  560s
 2639197 376462  442.56206   49   20  366.00000  442.56206  20.9%   2.4  565s
 2655438 375188  442.12930   47   16  366.00000  442.12930  20.8%   2.4  570s
 2672083 373865  427.06821   50   19  366.00000  441.66858  20.7%   2.4  575s
 2688044 372537  397.28721   54   14  366.00000  441.24290  20.6%   2.4  580s
 2703855 371252  420.09813   52   16  366.00000  440.81552  20.4%   2.4  585s
 2721404 369696  372.13667   51   14  366.00000  440.34704  20.3%   2.4  590s
 2739148 368097  385.43281   51   18  366.00000  439.86099  20.2%   2.4  595s
 2755623 366611  429.19186   52   18  366.00000  439.43244  20.1%   2.4  600s
 2773233 364961  376.21000   51   16  366.00000  438.98129  19.9%   2.4  605s
 2790365 363260  438.53155   50   19  366.00000  438.53853  19.8%   2.4  610s
 2807559 361511  438.08230   49   20  366.00000  438.08230  19.7%   2.4  615s
 2824356 359779  437.21471   49   17  366.00000  437.64128  19.6%   2.4  620s
 2839065 358229  388.48029   51   17  366.00000  437.24268  19.5%   2.4  625s
 2855988 356429  388.46259   53   14  366.00000  436.78364  19.3%   2.4  630s
 2873269 354496  436.32171   50   19  366.00000  436.32171  19.2%   2.4  635s
 2891629 352404  425.63570   53   13  366.00000  435.80130  19.1%   2.4  640s
 2907724 350525  435.38254   47   18  366.00000  435.38254  19.0%   2.4  645s
 2926528 348300     cutoff   55       366.00000  434.87992  18.8%   2.4  650s
 2945019 346049  434.37735   54   12  366.00000  434.37735  18.7%   2.4  655s
 2961595 344003  406.67139   54   11  366.00000  433.95035  18.6%   2.4  660s
 2980539 341608  404.96923   48   17  366.00000  433.44438  18.4%   2.4  665s
 2998751 339200  399.28339   49   18  366.00000  432.95539  18.3%   2.4  670s
 3013885 337175  432.55380   48   19  366.00000  432.55380  18.2%   2.4  675s
 3030394 334927  388.50727   50   15  366.00000  432.12180  18.1%   2.4  680s
 3047841 332523  431.65782   52   15  366.00000  431.65782  17.9%   2.4  685s
 3064782 330162  428.85236   51   17  366.00000  431.21816  17.8%   2.4  690s
 3080534 327918  430.78875   49   20  366.00000  430.78875  17.7%   2.4  695s
 3097515 325396  430.25076   49   18  366.00000  430.32238  17.6%   2.4  700s
 3114454 322877  429.85406   52   15  366.00000  429.85406  17.4%   2.4  705s
 3130121 320512  393.44693   51   15  366.00000  429.43960  17.3%   2.4  710s
 3147001 317879  428.97775   46   18  366.00000  428.97775  17.2%   2.4  715s
 3163658 315255  428.50695   54   13  366.00000  428.50695  17.1%   2.4  720s
 3179552 312714  424.84374   49   14  366.00000  428.07633  17.0%   2.4  725s
 3193518 310462  427.68451   48   18  366.00000  427.68451  16.9%   2.4  730s
 3209149 307865  427.23524   55   13  366.00000  427.23524  16.7%   2.4  735s
