#,x,GRASPT1,GRASPT2,GRASPT3,TST1,TST2,TST3,GAT1,GAT2,GAT3
154,0.7675,0.028,0.266,0.448,0.016,1.016,30.609,1.703,2.765,19.797
155,0.7725,0.028,0.266,0.452,0.016,1.031,30.875,1.703,2.797,22.532
156,0.7775,0.028,0.266,0.454,0.016,1.031,31.39,1.718,2.805,22.558
157,0.7825,0.028,0.268,0.464,0.016,1.047,32.406,1.719,2.812,22.562
158,0.7875,0.028,0.272,0.464,0.016,1.05,32.625,1.734,2.828,25.812
159,0.7925,0.031,0.276,0.468,0.016,1.057,34.907,1.735,2.86,30.503
160,0.7975,0.031,0.288,0.5,0.016,1.125,36.5,1.736,2.906,39.094
161,0.8025,0.031,0.292,0.5,0.016,1.172,37.27,1.75,2.906,41.548
162,0.8075,0.031,0.297,0.512,0.016,1.172,39.641,1.75,2.921,48.586
163,0.8125,0.031,0.297,0.512,0.016,1.219,41.64,1.75,2.922,50.154
164,0.8175,0.031,0.3,0.515,0.016,1.235,42.39,1.756,2.922,54.078
165,0.8225,0.031,0.3,0.516,0.016,1.32,43.453,1.766,2.969,128.985
166,0.8275,0.031,0.3,0.52,0.016,1.328,43.584,1.766,3,130.8
167,0.8325,0.031,0.308,0.547,0.016,1.344,44.535,1.781,3.031,132.405
168,0.8375,0.031,0.312,0.552,0.016,1.375,44.641,1.781,3.031,183.465
169,0.8425,0.032,0.316,0.555,0.016,1.406,48.596,1.784,3.063,224.471
170,0.8475,0.032,0.324,0.564,0.016,1.488,49.718,1.79,3.109,241.446
171,0.8525,0.032,0.328,0.572,0.016,1.5,49.86,1.797,3.141,248.364
172,0.8575,0.032,0.328,0.578,0.016,1.531,50.89,1.797,3.153,257.33
173,0.8625,0.032,0.329,0.594,0.016,1.546,51.422,1.812,3.25,261.284
174,0.8675,0.032,0.348,0.608,0.016,1.547,56.021,1.828,3.328,296.011
175,0.8725,0.032,0.352,0.608,0.016,1.719,57.505,1.828,3.375,296.011
176,0.8775,0.032,0.356,0.609,0.016,1.766,58.481,1.828,3.391,296.011
177,0.8825,0.032,0.36,0.616,0.016,1.781,59.488,1.837,3.453,296.011
178,0.8875,0.032,0.36,0.664,0.016,1.951,62.218,1.843,3.516,296.011
179,0.8925,0.032,0.368,0.672,0.016,1.984,62.25,1.86,3.516,296.011
180,0.8975,0.032,0.375,0.68,0.016,2.109,64.047,1.86,3.594,296.011
181,0.9025,0.032,0.384,0.687,0.016,2.266,66.028,1.891,3.625,296.011
182,0.9075,0.032,0.384,0.688,0.016,2.406,66.938,1.891,3.922,296.011
183,0.9125,0.036,0.391,0.696,0.016,2.5,68.112,1.906,3.968,296.011
184,0.9175,0.036,0.416,0.752,0.016,2.547,69.28,1.921,3.969,296.011
185,0.9225,0.036,0.422,0.759,0.016,2.813,76.394,1.937,4.032,296.011
186,0.9275,0.036,0.448,0.76,0.016,2.875,76.742,1.953,4.828,296.011
187,0.9325,0.04,0.453,0.76,0.016,2.877,77.016,1.968,4.891,296.011
188,0.9375,0.04,0.454,0.766,0.016,3.031,78.278,1.969,4.906,296.011
189,0.9425,0.044,0.5,0.796,0.016,3.141,78.578,1.969,5.125,296.011
190,0.9475,0.044,0.512,0.815,0.016,3.171,84.561,1.984,5.157,296.011
191,0.9525,0.044,0.512,0.907,0.016,3.688,87.552,2.015,5.891,296.011
192,0.9575,0.048,0.515,0.983,0.016,3.859,95.222,2.031,6.156,296.011
193,0.9625,0.048,0.516,1,0.016,3.891,108.686,2.031,6.703,296.011
194,0.9675,0.052,0.552,1.024,0.023,4.062,109.228,2.078,7.078,296.011
195,0.9725,0.056,0.564,1.125,0.032,5.328,110.733,2.078,7.273,296.011
196,0.9775,0.056,0.616,1.224,0.046,5.375,135.406,2.078,7.594,296.011
197,0.9825,0.056,0.759,1.228,0.047,5.495,147.922,2.078,12.25,296.011
198,0.9875,0.063,0.766,1.266,0.047,6.266,150.352,2.141,31.718,296.011
199,0.9925,0.088,0.848,1.922,0.047,6.938,194.117,2.313,129.878,296.011
200,0.9975,0.092,0.927,2.08,0.152,7.015,224.301,2.375,176.488,296.011
